attack_type,stream,src_mac,dst_mac,src_ip,dst_ip,src_port,dst_port,device_mac,eth_src_oui,eth_dst_oui
Benign,723,Amazon Echo Studio,3c:18:a0:41:c3:a0,192.168.137.83,13.35.102.198,38262,443,Amazon Echo Studio,Amazon Technologies Inc.,Luxshare Precision Industry Company Limited
Benign,-1,Netatmo Weather Station,ff:ff:ff:ff:ff:ff,,,0,0,Netatmo Weather Station,Netatmo,Broadcast
Benign,13,Yutron Plug 1,ff:ff:ff:ff:ff:ff,192.168.137.99,255.255.255.255,49221,6667,Yutron Plug 1,Tuya Smart Inc.,Broadcast
Benign,184,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,54.154.34.86,192.168.137.175,443,35130,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,1,3c:18:a0:41:c3:a0,Nest Indoor Camera,35.185.101.66,192.168.137.46,443,57480,Nest Indoor Camera,Luxshare Precision Industry Company Limited,"Google, Inc."
Benign,5812,ac:17:02:05:34:27,3c:18:a0:41:c3:a0,192.168.137.41,157.249.81.141,59558,80,ac:17:02:05:34:27,Fibar Group sp. z o.o.,Luxshare Precision Industry Company Limited
Benign,52,GoSund Smart Plug WP2 (2),3c:18:a0:41:c3:a0,192.168.137.151,34.210.19.179,30542,8886,GoSund Smart Plug WP2 (2),Espressif Inc.,Luxshare Precision Industry Company Limited
Benign,19,b0:09:da:3e:82:6c,3c:18:a0:41:c3:a0,192.168.137.118,3.238.78.232,56404,443,b0:09:da:3e:82:6c,Ring Solutions,Luxshare Precision Industry Company Limited
Benign,747,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,34.241.186.42,36968,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,2906,Home Eye Camera,3c:18:a0:41:c3:a0,192.168.137.133,18.182.200.45,16539,32100,Home Eye Camera,"Shenzhen Rf-Link Technology Co.,Ltd.",Luxshare Precision Industry Company Limited
Benign,1080,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,54.229.134.24,192.168.137.175,443,33687,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,1043,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,34.243.231.175,192.168.137.175,443,33328,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,175,3c:18:a0:41:c3:a0,SmartThings Hub,13.225.195.7,192.168.137.186,443,54932,SmartThings Hub,Luxshare Precision Industry Company Limited,"SAMJIN Co., Ltd."
Benign,1078,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,52.210.66.142,59431,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,6659,ac:17:02:05:34:27,3c:18:a0:41:c3:a0,192.168.137.41,157.249.81.141,60715,80,ac:17:02:05:34:27,Fibar Group sp. z o.o.,Luxshare Precision Industry Company Limited
DNS_Spoofing,5390,3c:18:a0:41:c3:a0,Borun/Sichuan-AI Camera,47.254.83.84,192.168.137.163,7788,42452,3c:18:a0:41:c3:a0,Luxshare Precision Industry Company Limited,"Sichuan AI-Link Technology Co., Ltd."
Benign,270,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,54.72.111.213,43730,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,500,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,52.209.241.1,192.168.137.175,443,45320,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,285,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,63.35.102.173,192.168.137.175,443,43479,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,392,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,34.246.132.214,192.168.137.175,443,37154,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,874,3c:18:a0:41:c3:a0,Eufy HomeBase 2,3.17.86.212,192.168.137.224,443,32996,Eufy HomeBase 2,Luxshare Precision Industry Company Limited,Smart Innovation LLC
Benign,53,Amazon Echo Show,Amazon Echo Dot 2,192.168.137.172,192.168.137.58,55444,55444,Amazon Echo Show,Amazon Technologies Inc.,Amazon Technologies Inc.
Benign,4818,ac:17:02:05:34:27,3c:18:a0:41:c3:a0,192.168.137.41,192.168.137.1,59599,53,ac:17:02:05:34:27,Fibar Group sp. z o.o.,Luxshare Precision Industry Company Limited
Benign,-1,LampUX RGB,ff:ff:ff:ff:ff:ff,,,0,0,LampUX RGB,Espressif Inc.,Broadcast
Benign,693,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,99.80.177.237,33448,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,32,Amazon Echo Show,Amazon Echo Dot 2,192.168.137.172,192.168.137.58,55444,55444,Amazon Echo Show,Amazon Technologies Inc.,Amazon Technologies Inc.
Benign,1,3c:18:a0:41:c3:a0,Nest Indoor Camera,35.185.101.66,192.168.137.46,443,57480,Nest Indoor Camera,Luxshare Precision Industry Company Limited,"Google, Inc."
Benign,-1,Netatmo Camera,3c:18:a0:41:c3:a0,,,0,0,Netatmo Camera,Netatmo,Luxshare Precision Industry Company Limited
Benign,436,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,63.35.30.30,192.168.137.175,443,59957,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,1015,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,34.247.21.4,50804,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,536,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,63.32.36.73,56915,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,34,Gosund Smart Plug WP3 (2),ff:ff:ff:ff:ff:ff,192.168.137.22,255.255.255.255,49154,6667,Gosund Smart Plug WP3 (2),Espressif Inc.,Broadcast
Benign,81,3c:18:a0:41:c3:a0,DCS8000LHA1 D-Link Mini Camera,52.53.92.145,192.168.137.132,443,59438,DCS8000LHA1 D-Link Mini Camera,Luxshare Precision Industry Company Limited,D-Link International
Benign,134,e8:1b:69:f8:d6:e6,3c:18:a0:41:c3:a0,192.168.137.131,173.255.250.75,35163,232,e8:1b:69:f8:d6:e6,Sercomm Corporation.,Luxshare Precision Industry Company Limited
Benign,598,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,52.49.29.109,51539,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,5512,Amazon Echo Dot 2,Amazon Echo Studio,192.168.137.58,192.168.137.83,51120,55443,Amazon Echo Dot 2,Amazon Technologies Inc.,Amazon Technologies Inc.
Benign,-1,Yi Indoor 2 Camera,3c:18:a0:41:c3:a0,192.168.137.249,8.8.8.8,0,0,Yi Indoor 2 Camera,AltoBeam (China) Inc.,Luxshare Precision Industry Company Limited
Benign,64,GoSund Smart plug WP2 (3),ff:ff:ff:ff:ff:ff,192.168.137.68,255.255.255.255,49154,6667,GoSund Smart plug WP2 (3),Espressif Inc.,Broadcast
Benign,-1,LG Smart TV,33:33:00:00:00:fb,,,0,0,LG Smart TV,LG Innotek,IPv6 Multicast
Benign,1066,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,54.77.42.87,192.168.137.175,443,43385,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,401,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,52.49.29.109,55076,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,9,GoSund Smart plug WP2 (3),ff:ff:ff:ff:ff:ff,192.168.137.68,255.255.255.255,49154,6667,GoSund Smart plug WP2 (3),Espressif Inc.,Broadcast
Benign,1083,ac:17:02:05:34:27,3c:18:a0:41:c3:a0,192.168.137.41,192.168.137.1,51525,53,ac:17:02:05:34:27,Fibar Group sp. z o.o.,Luxshare Precision Industry Company Limited
Benign,369,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,52.210.251.230,192.168.137.175,443,33140,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,894,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,34.252.212.228,37813,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,185,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,63.34.92.22,192.168.137.175,443,37446,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,3687,ac:17:02:05:34:27,3c:18:a0:41:c3:a0,192.168.137.41,157.249.81.141,56637,80,ac:17:02:05:34:27,Fibar Group sp. z o.o.,Luxshare Precision Industry Company Limited
Benign,13,Yutron Plug 1,ff:ff:ff:ff:ff:ff,192.168.137.99,255.255.255.255,49221,6667,Yutron Plug 1,Tuya Smart Inc.,Broadcast
Benign,924,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,52.210.83.85,192.168.137.175,443,57263,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,965,3c:18:a0:41:c3:a0,ac:17:02:05:34:27,157.249.81.141,192.168.137.41,80,52939,ac:17:02:05:34:27,Luxshare Precision Industry Company Limited,Fibar Group sp. z o.o.
Benign,-1,00:a3:d1:07:6f:03,01:80:c2:00:00:00,,,0,0,00:a3:d1:07:6f:03,"Cisco Systems, Inc",IEEE 802.1 Chair
Benign,10494,24:05:88:30:6f:89,3c:18:a0:41:c3:a0,192.168.137.249,8.8.8.8,35120,53,24:05:88:30:6f:89,"Google, Inc.",Luxshare Precision Industry Company Limited
Benign,63,b0:09:da:3e:82:6c,3c:18:a0:41:c3:a0,192.168.137.118,3.218.207.160,45382,443,b0:09:da:3e:82:6c,Ring Solutions,Luxshare Precision Industry Company Limited
Benign,906,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,3.248.67.251,192.168.137.175,443,45997,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,764,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,3.248.22.187,192.168.137.175,443,57766,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,1015,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,34.247.21.4,192.168.137.175,443,50804,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,880,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,54.171.158.202,192.168.137.175,443,34464,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,909,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,63.35.30.30,33707,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,4357,3c:18:a0:41:c3:a0,ac:17:02:05:34:27,157.249.81.141,192.168.137.41,443,55882,ac:17:02:05:34:27,Luxshare Precision Industry Company Limited,Fibar Group sp. z o.o.
Benign,847,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,18.200.147.176,192.168.137.175,443,58349,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,4,Nest Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.46,35.185.101.66,41206,443,Nest Indoor Camera,"Google, Inc.",Luxshare Precision Industry Company Limited
Benign,537,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,34.242.17.206,192.168.137.175,443,50800,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
XSS,207,3c:18:a0:41:c3:a0,Netatmo Camera,51.145.143.28,192.168.137.58,443,59506,Netatmo Camera,Luxshare Precision Industry Company Limited,Netatmo
Benign,-1,3c:18:a0:41:c3:a0,AMCREST WiFi Camera,,,0,0,3c:18:a0:41:c3:a0,Luxshare Precision Industry Company Limited,Amcrest Technologies
Benign,4868,3c:18:a0:41:c3:a0,ac:17:02:05:34:27,157.249.81.141,192.168.137.41,443,56607,ac:17:02:05:34:27,Luxshare Precision Industry Company Limited,Fibar Group sp. z o.o.
Benign,19,Lumiman bulb,ff:ff:ff:ff:ff:ff,192.168.137.70,255.255.255.255,59742,6667,Lumiman bulb,Tuya Smart Inc.,Broadcast
Benign,42,Teckin Light Strip,ff:ff:ff:ff:ff:ff,192.168.137.31,255.255.255.255,49287,6667,Teckin Light Strip,Tuya Smart Inc.,Broadcast
Benign,11194,24:05:88:30:6f:89,3c:18:a0:41:c3:a0,192.168.137.249,8.8.8.8,35500,53,24:05:88:30:6f:89,"Google, Inc.",Luxshare Precision Industry Company Limited
Benign,6007,ac:17:02:05:34:27,3c:18:a0:41:c3:a0,192.168.137.41,157.249.81.141,59813,80,ac:17:02:05:34:27,Fibar Group sp. z o.o.,Luxshare Precision Industry Company Limited
Benign,990,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,52.208.195.227,55959,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,1025,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,52.17.3.51,46198,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,440,3c:18:a0:41:c3:a0,SmartThings Hub,13.225.195.7,192.168.137.186,443,56016,SmartThings Hub,Luxshare Precision Industry Company Limited,"SAMJIN Co., Ltd."
Benign,1088,Amazon Echo Dot 2,Amazon Echo Show,192.168.137.58,192.168.137.172,36730,55443,Amazon Echo Dot 2,Amazon Technologies Inc.,Amazon Technologies Inc.
Benign,906,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,3.248.67.251,192.168.137.175,443,45997,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,8523,Philips Hue Bridge,dc:a6:32:dc:27:d5,192.168.137.154,192.168.137.128,1900,39179,Philips Hue Bridge,Philips Lighting BV,Raspberry Pi Trading Ltd
Benign,168,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,54.77.27.122,49517,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,924,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,52.210.83.85,192.168.137.175,443,57263,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,120,Amazon Echo Dot 2,harman kardon (Ampak Technology),192.168.137.58,192.168.137.47,59600,49152,Amazon Echo Dot 2,Amazon Technologies Inc.,"AMPAK Technology, Inc."
Benign,4,3c:18:a0:41:c3:a0,Levoit Air Purifier,52.21.64.122,192.168.137.181,1883,60862,3c:18:a0:41:c3:a0,Luxshare Precision Industry Company Limited,Espressif Inc.
Brute_Force,271,Wyze Camera,3c:18:a0:41:c3:a0,192.168.137.242,147.135.36.150,37596,10001,Wyze Camera,Wyze Labs Inc,Luxshare Precision Industry Company Limited
Benign,376,Amazon Echo Show,3c:18:a0:41:c3:a0,192.168.137.172,54.70.5.180,60990,443,Amazon Echo Show,Amazon Technologies Inc.,Luxshare Precision Industry Company Limited
Benign,318,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,52.214.197.222,45919,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,990,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,52.208.195.227,55959,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,906,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,3.248.67.251,45997,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,106,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,52.209.141.16,192.168.137.175,443,54702,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,693,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,99.80.177.237,192.168.137.175,443,33448,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,55,3c:18:a0:41:c3:a0,HeimVision Smart WiFi Camera,47.88.56.147,192.168.137.90,50920,51155,3c:18:a0:41:c3:a0,Luxshare Precision Industry Company Limited,Shenzhen Bilian Electronic Co.£¬Ltd
Benign,139,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,52.16.52.139,51260,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,3460,Sonos One Speaker,Amazon Echo Dot 2,192.168.137.148,192.168.137.58,1400,40406,Sonos One Speaker,"Sonos, Inc.",Amazon Technologies Inc.
Benign,470,AeoTec Smart Home Hub,3c:18:a0:41:c3:a0,192.168.137.86,13.225.195.104,42102,443,AeoTec Smart Home Hub,"SAMJIN Co., Ltd.",Luxshare Precision Industry Company Limited
Benign,1009,3c:18:a0:41:c3:a0,Amazon Echo Studio,13.35.102.198,192.168.137.83,443,35280,Amazon Echo Studio,Luxshare Precision Industry Company Limited,Amazon Technologies Inc.
Benign,136,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,34.241.186.42,36828,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,185,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,63.34.92.22,37446,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,184,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,54.154.34.86,35130,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,628,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,54.76.170.94,43045,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,243,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,52.19.77.30,57442,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
DoS-HTTP_Flood,7966,dc:a6:32:dc:27:d5,Raspberry Pi 4-2 GB,192.168.137.66,192.168.137.141,40824,80,dc:a6:32:dc:27:d5,Raspberry Pi Trading Ltd,Raspberry Pi Trading Ltd
Benign,1146,Wyze Camera,3c:18:a0:41:c3:a0,192.168.137.227,8.8.4.4,57128,53,Wyze Camera,Wyze Labs Inc,Luxshare Precision Industry Company Limited
Benign,7752,24:05:88:30:6f:89,3c:18:a0:41:c3:a0,192.168.137.249,8.8.8.8,39325,53,24:05:88:30:6f:89,"Google, Inc.",Luxshare Precision Industry Company Limited
Benign,432,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,54.72.111.213,43778,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,-1,3c:18:a0:41:c3:a0,Cocoon Smart HVAC Fan,,,0,0,3c:18:a0:41:c3:a0,Luxshare Precision Industry Company Limited,Espressif Inc.
Benign,-1,56:4f:8a:e1:f3:2d,3c:18:a0:41:c3:a0,192.168.137.51,192.168.137.1,0,0,56:4f:8a:e1:f3:2d,none,Luxshare Precision Industry Company Limited
Benign,764,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,3.248.22.187,57766,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,7118,3c:18:a0:41:c3:a0,SmartThings Hub,13.225.195.104,192.168.137.186,443,59150,SmartThings Hub,Luxshare Precision Industry Company Limited,"SAMJIN Co., Ltd."
Benign,4074,3c:18:a0:41:c3:a0,Amazon Echo Show,13.225.189.191,192.168.137.172,443,52474,Amazon Echo Show,Luxshare Precision Industry Company Limited,Amazon Technologies Inc.
Benign,700,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,54.77.112.69,192.168.137.175,443,36811,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,-1,e8:1b:69:f8:d4:e3,33:33:00:01:00:02,,,0,0,e8:1b:69:f8:d4:e3,Sercomm Corporation.,IPv6 Multicast
Benign,168,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,54.77.27.122,49517,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,-1,LG Smart TV,ff:ff:ff:ff:ff:ff,,,0,0,LG Smart TV,LG Innotek,Broadcast
Benign,98,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,54.77.72.132,42710,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,914,3c:18:a0:41:c3:a0,ac:17:02:05:34:27,109.95.152.66,192.168.137.41,443,50485,ac:17:02:05:34:27,Luxshare Precision Industry Company Limited,Fibar Group sp. z o.o.
Benign,891,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,63.35.69.141,192.168.137.175,443,51543,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,73,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,52.31.220.16,192.168.137.175,443,46299,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,12138,Home Eye Camera,3c:18:a0:41:c3:a0,192.168.137.133,192.168.137.1,51595,53,Home Eye Camera,"Shenzhen Rf-Link Technology Co.,Ltd.",Luxshare Precision Industry Company Limited
Benign,1026,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,18.200.66.16,192.168.137.175,443,38639,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,0,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,54.74.35.22,56367,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,488,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,63.33.243.105,192.168.137.175,443,38467,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,906,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,3.248.67.251,45997,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,285,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,63.35.102.173,43479,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,1171,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,52.210.96.251,192.168.137.175,443,40287,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,426,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,34.240.198.177,192.168.137.175,443,35719,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,852,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,34.243.231.175,192.168.137.175,443,34998,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,11932,harman kardon (Ampak Technology),3c:18:a0:41:c3:a0,192.168.137.47,192.168.137.1,42701,53,harman kardon (Ampak Technology),"AMPAK Technology, Inc.",Luxshare Precision Industry Company Limited
Benign,682,Amazon Echo Dot 2,Amazon Echo Dot 1,192.168.137.58,192.168.137.250,38092,55443,Amazon Echo Dot 2,Amazon Technologies Inc.,Amazon Technologies Inc.
Benign,536,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,63.32.36.73,192.168.137.175,443,56915,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,629,Netatmo Camera,3c:18:a0:41:c3:a0,192.168.137.35,51.145.143.28,58845,443,Netatmo Camera,Netatmo,Luxshare Precision Industry Company Limited
Benign,184,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,54.154.34.86,192.168.137.175,443,35130,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,73,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,52.31.220.16,46299,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,270,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,54.72.111.213,192.168.137.175,443,43730,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,906,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,3.248.67.251,192.168.137.175,443,45997,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,491,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,54.75.102.25,192.168.137.175,443,34567,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,436,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,63.35.30.30,192.168.137.175,443,59957,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,2252,Arlo Base Station,3c:18:a0:41:c3:a0,192.168.137.78,8.8.8.8,35244,53,Arlo Base Station,Netgear,Luxshare Precision Industry Company Limited
Benign,1,Nest Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.46,35.185.101.66,57480,443,Nest Indoor Camera,"Google, Inc.",Luxshare Precision Industry Company Limited
Benign,10561,3c:18:a0:41:c3:a0,01:00:5e:7f:ff:fa,192.168.137.1,239.255.255.250,54196,1900,3c:18:a0:41:c3:a0,Luxshare Precision Industry Company Limited,IPv4 Multicast
Benign,238,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,54.228.102.32,192.168.137.175,443,60700,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,73,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,52.31.220.16,46299,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,9137,TP-Link Tapo Camera,3c:18:a0:41:c3:a0,192.168.137.187,3.208.160.215,25251,3478,TP-Link Tapo Camera,TP-Link Corporation Limited,Luxshare Precision Industry Company Limited
DDoS-HTTP_Flood,3914,dc:a6:32:dc:27:d5,AMCREST WiFi Camera,192.168.137.178,192.168.137.139,55912,80,dc:a6:32:dc:27:d5,Raspberry Pi Trading Ltd,Amcrest Technologies
Benign,894,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,34.252.212.228,192.168.137.175,443,37813,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,74,Philips Hue Bridge,01:00:5e:7f:ff:fa,192.168.137.154,239.255.255.250,1900,1900,Philips Hue Bridge,Philips Lighting BV,IPv4 Multicast
Benign,1142,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,54.195.180.27,44981,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,392,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,34.246.132.214,192.168.137.175,443,37154,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,136,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,34.241.186.42,192.168.137.175,443,36828,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,536,3c:18:a0:41:c3:a0,Arlo Q Indoor Camera,63.32.36.73,192.168.137.175,443,56915,Arlo Q Indoor Camera,Luxshare Precision Industry Company Limited,Netgear
Benign,707,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,54.77.161.58,33763,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,1,Nest Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.46,35.185.101.66,57480,443,Nest Indoor Camera,"Google, Inc.",Luxshare Precision Industry Company Limited
Benign,990,Arlo Q Indoor Camera,3c:18:a0:41:c3:a0,192.168.137.175,52.208.195.227,55959,443,Arlo Q Indoor Camera,Netgear,Luxshare Precision Industry Company Limited
Benign,53,Amazon Echo Dot 2,Amazon Echo Show,192.168.137.58,192.168.137.172,55443,55352,Amazon Echo Dot 2,Amazon Technologies Inc.,Amazon Technologies Inc.
